Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,517;0;0;0,519;0,000819001;0;0,523;0;0;0,5;0;0;0,521;0;0;0,502;0;0
1,02;0,022678951;0;1,036;0;0;1,037;0;0;1,01;0;0;1,034;0;0;1,004;0;0
1,539;1,290574061;0;1,553;0,274365274;0;1,548;0,053557766;0;1,52;0;0;1,539;0,207968127;0;1,505;0;0
2,056;4,143869596;0;2,057;1,184275184;0,018166804;2,062;0,083397093;0,024748647;2,04;0,043280182;0;2,045;0,581673307;0;2,007;0;0
2,56;2,352941176;0,002148997;2,582;#VALUE!;0,18744839;2,582;0,061973986;0,185614849;2,55;1,032649962;0;2,549;0,310756972;0;2,509;0,021791768;0
3,073;1,081502481;0,3252149;3,085;#VALUE!;0,07101569;3,11;0,037490436;0,668213457;3,06;0,783599089;0,234889059;3,058;0,168924303;1,253611557;3,01;0,269572236;0,15186722
3,581;3,074415308;0,833810888;3,596;#VALUE!;2,411230388;3,63;0,027543994;2,086620263;3,57;0,457099468;2,44682479;3,564;0,105976096;0,990369181;3,512;2,687651332;0,517012448
4,089;1,163004961;1,730659026;4,108;#VALUE!;4,113955409;4,151;0,019892884;0,686774942;4,08;0,809415338;2,896710023;4,074;0,044621514;0,487961477;4,013;1,010492333;0,319502075
4,598;0,393338058;1,633954155;4,616;4,848484848;1,539223782;4,663;0,013771997;0,402938902;4,59;0,394077449;2,846977812;4,576;0,029482072;2,154895666;4,515;0,542372881;0,399170124
5,098;0,254429483;0,330945559;5,124;2,38001638;0,686209744;5,176;0,006120888;0,221191029;5,1;0,232346241;2,173680184;5,084;0,018326693;0,886837881;5,017;0,585956416;0,355186722
5,616;0,180014174;0,20773639;5,636;1,343161343;0,574731627;5,684;0,003825555;0,139211137;5,61;0,149582384;2,968630451;5,597;0,010358566;1,025682183;5,518;0,829701372;0,804979253
6,136;0,206945429;0,446991404;6,137;1,105651106;0,28241123;6,195;0,006885998;0,207269915;6,13;0,099468489;2,706197399;6,117;0,022310757;0,983146067;6,02;0,218724778;0,604979253
6,639;0,088589653;0,937679083;6,639;0,574938575;0,259289843;6,704;0,015302219;0,247486466;6,66;0,07896735;1,472838562;6,651;0,021513944;1,560995185;6,522;0,17756255;0,441493776
7,154;0,172927002;0,716332378;7,158;0,408681409;0,43104872;7,222;0,01606733;0,302397525;7,17;0,066818527;0,713083397;7,159;0,032669323;0,569020867;7,023;0,188054883;0,174273859
7,673;0,226080794;0,406160458;7,662;0,334152334;0,492155244;7,737;0,03213466;0,468677494;7,67;0,029612756;0,368783474;7,672;0,053386454;1,180577849;7,525;0,126715093;0,265560166
8,181;1,072997874;0,388252149;8,168;0,248157248;0,528488852;8,25;0,111706197;0,440061872;8,2;0,094153379;0,343534813;8,178;0,914741036;1,497592295;8,027;0,121065375;0,203319502
8,69;2,108433735;0,588825215;8,677;0,556920557;0,611065235;8,762;0,084927314;0,577726218;8,71;0,119210326;0,526396327;8,683;0,834262948;1,333065811;8,529;0,160613398;0,226556017
9,21;1,88518781;0,502148997;9,187;1,557739558;0,677126342;9,277;0,150726855;1,108275329;9,22;0,104783599;0,718439174;9,201;1,6812749;1,359550562;9,03;0,215496368;0,237344398
9,711;1,377037562;0,638968481;9,693;1,490581491;0,604459125;9,799;0,246365723;1,578499613;9,73;0,647684131;0,879877582;9,73;1,066932271;1,018459069;9,532;0,324455206;0,426556017
10,23;2,595322466;0,655444126;10,203;1,556920557;0,827415359;10,31;0,828615149;1,474864656;10,24;1,949126803;0,892884468;10,246;1,223904382;0,849919743;10,034;0,356739306;0,550207469
10,756;2,321757619;0,928366762;10,714;0,959049959;1,090008258;10,828;1,229533282;1,349574633;10,75;1,642369021;0,883703137;10,757;1,639840637;0,609149278;10,536;0,881355932;0,619917012
11,264;1,341601701;0,760744986;11,217;1,252252252;0,792733278;11,344;1,137719969;1,045630317;11,26;1,16856492;1,402448355;11,264;0,956972112;0,879614767;11,037;1,005649718;0,606639004
11,778;1,588944011;0,760028653;11,746;1,505323505;0,79521057;11,869;0,850038256;1,052590874;11,76;1,036446469;1,481254782;11,769;1,007171315;0,822632424;11,55;1,323648103;0,608298755
12,299;1,788093551;0,898280802;12,266;1,76003276;0,916597853;12,381;0,626625861;0,972157773;12,29;1,602885345;1,058148432;12,281;0,957768924;0,794542536;12,063;1,360774818;0,648962656
12,808;1,491141035;0,722063037;12,774;1,517608518;0,959537572;12,897;0,697781178;0,877803558;12,8;1,369779803;0,961744453;12,797;0,755378486;1,006420546;12,565;1,08071025;0,774273859
13,314;1,019135365;0,775071633;13,287;0,9000819;0,808422791;13,407;0,756694721;0,819798917;13,31;1,059984814;0,86151492;13,312;0,406374502;1,006420546;13,067;0,92574657;0,686307054
13,843;0,77817151;0,74713467;13,798;0,862407862;0,798513625;13,909;0,81331293;1,05800464;13,82;0,974183751;1,068859985;13,841;0,827091633;0,936597111;13,568;0,895883777;0,784232365
