"Time","C ( block=2)"
0,0
0.5,0.114377
1,1.98173
1.5,7.46223
2,13.5109
2.5,16.1315
3,14.8755
3.5,11.5838
4,8.04699
4.5,5.17096
5,3.15339
5.5,1.86219
6,1.0847
6.5,0.63646
7,0.38787
7.5,0.257487
8,0.198343
8.5,0.185667
9,0.207862
9.5,0.260458
10,0.342056
10.5,0.45161
11,0.586803
11.5,0.743233
12,0.914272
12.5,1.09157
13,1.26584
13.5,1.42785
14,1.56932
14.5,1.68372
15,1.7668
15.5,1.81675
16,1.83411
16.5,1.82147
17,1.78298
17.5,1.72384
18,1.64976
18.5,1.56651
19,1.47949
19.5,1.3935
20,1.31253
20.5,1.23961
21,1.17692
21.5,1.12574
22,1.08655
22.5,1.05914
23,1.04276
23.5,1.03622
24,1.03804
24.5,1.04658
25,1.06013
25.5,1.07699
26,1.09562
26.5,1.11465
27,1.13292
27.5,1.14952
28,1.16382
28.5,1.17542
29,1.18417
29.5,1.19009
30,1.19342
30.5,1.19447
31,1.19367
31.5,1.1915
32,1.18842
32.5,1.18489
33,1.18133
33.5,1.1781
34,1.17545
34.5,1.17359
35,1.17264
35.5,1.17264
36,1.17355
36.5,1.17531
37,1.17778
37.5,1.18082
38,1.18427
38.5,1.18795
39,1.19171
39.5,1.19539
40,1.19887
40.5,1.20205
41,1.20487
41.5,1.20728
42,1.20925
42.5,1.21081
