Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,51;0;0;0,521;0;0;0,51;0;0;0,522;0;0;0,512;0;0
1,03;0;0;1,047;0;0;1,026;0;0;1,04;0;0;1,019;0;0
1,54;0;0;1,556;0;0;1,535;0;0;1,548;0,000822368;0;1,529;0,004814305;0
2,06;0,037096774;0;2,066;0;0;2,045;0;0;2,058;0,000822368;0;2,036;0,291609354;-0,000692521
2,56;0,030645161;0;2,576;0;0;2,564;0;0;2,57;0,106907895;0;2,542;0,226272352;0
3,08;0,02983871;0;3,081;0;0,012907609;3,08;0;0;3,088;0,103618421;0;3,047;0,087345254;0,241689751
3,61;0,027419355;0;3,588;0,000673854;0,288722826;3,588;0,208298755;0;3,599;0,172697368;0,079967024;3,567;0,081155433;0,335180055
4,12;0,014516129;0;4,101;0,000673854;0,887907609;4,099;0,263900415;0;4,111;0,079769737;0,394064303;4,089;0,165749656;1,542936288
4,63;0,010483871;0,254349627;4,612;0,002695418;1,331521739;4,605;0,243153527;0,018771331;4,619;0,032894737;1,893652102;4,596;0,202200825;1,398199446
5,15;0,008064516;0,521126761;5,119;0,194743935;1,84986413;5,111;0,287136929;0,911262799;5,128;0,019736842;3,25721352;5,102;0,135488308;1,154432133
5,66;0,003225806;0,856669428;5,627;0,178571429;2,019021739;5,626;0,107053942;1,78668942;5,633;0,010690789;2,896949711;5,611;0,078404402;0,734764543
6,17;0,001612903;1,853355427;6,143;0,163746631;1,131793478;6,137;0,08879668;0,802047782;6,138;0,009868421;2,275350371;6,133;0,051581843;0,882963989
6,68;0;1,525269263;6,656;0,248652291;0,956521739;6,649;0,049792531;0,877986348;6,644;0,076480263;2,33223413;6,654;0,038514443;1,128808864
7,19;0;0,850041425;7,17;0,223045822;1,987092391;7,16;0,034854772;1,21331058;7,151;0,018092105;0,659521847;7,162;0,021320495;1,861495845
7,71;0;2,478873239;7,681;0,083557951;1,773777174;7,676;0,019087137;1,042662116;7,662;0,012335526;0,8928277;7,672;0,015818432;1,013850416
8,22;0;2,387738194;8,193;0,130727763;2,155570652;8,191;0,013278008;0,33105802;8,167;0,037828947;1,092333059;8,179;0,011691884;0,523545706
8,73;0;2,1996686;8,709;0,193396226;2,027853261;8,702;0,009958506;0,553754266;8,684;0,037828947;1,201978566;8,692;0,009628611;0,885734072
9,25;0;1,045567523;9,223;1,092991914;0,991168478;9,213;0,005809129;0,504266212;9,192;0,115131579;1,380049464;9,201;0,065337001;1,101108033
9,75;0;0,564208782;9,731;1,021563342;1,072690217;9,721;0,063900415;0,760238908;9,701;0,215460526;1,233305853;9,715;0,098349381;1,698753463
10,27;0,008064516;0,83927092;10,241;0,723719677;0,769021739;10,242;0,241493776;0,803754266;10,207;0,288651316;1,066776587;10,233;0,052269601;2,004155125
10,79;0,014516129;1,150787075;10,754;1,404312668;0,625;10,766;0,322821577;1,045221843;10,715;0,652138158;0,697444353;10,744;0,055708391;1,677977839
11,3;0,035483871;0,850041425;11,273;1,558625337;1,08763587;11,272;0,904564315;1,067406143;11,249;1,412006579;0,581203627;11,248;0,055708391;1,108033241
11,83;0,222580645;1,226180613;11,782;1,066037736;1,019701087;11,792;1,187551867;1,133959044;11,759;1,421052632;0,737015664;11,761;0,114855571;1,249307479
12,33;0,458064516;1,251035626;12,289;1,440026954;0,980298913;12,319;1,170954357;1,107508532;12,267;0,821546053;0,830997527;12,266;0,597661623;1,139889197
12,85;0,719354839;1,398508699;12,801;1,533692722;1,014945652;12,839;1,17593361;1,338737201;12,789;1;1,000824402;12,778;0,854195323;1,274238227
13,36;0,881451613;1,330571665;13,316;0,757412399;0,699048913;13,357;0,588381743;1,29778157;13,298;1,097039474;1,190436933;13,29;0,99656121;1,243074792
13,87;1,083064516;1,314830157;13,841;0,628706199;1,0625;13,869;0,776763485;1,16552901;13,806;0,954769737;1,224237428;13,797;1,064649243;1,336565097
14,38;1,125;1,273405137;14,349;0,741913747;1,074728261;14,378;0,811618257;1,20221843;14,324;0,653782895;1,263808739;14,315;1,15130674;1,135734072
14,89;1,175806452;1,277547639;14,855;0,917115903;1,245244565;14,888;1,194190871;1,123720137;14,836;0,926809211;1,260511129;14,827;1,319807428;1,122576177
15,4;1,656451613;1,270919635;15,374;1,033692722;1,370923913;15,403;1,126141079;1,110068259;15,348;1,077302632;1,137675185;15,338;1,338376891;1,078254848
