,Time,Cmin,Cmax,Mean
0,0.1,0.0,1000.0,500.0
1,0.2,0.0,978.088,489.044
2,0.3,0.0,953.864,476.932
3,0.4,1.55923e-59,927.919,463.9595
4,0.5,9.8249e-49,900.745,450.3725
5,0.6,8.25405e-46,872.753,436.3765
6,0.7,6.17777e-44,844.285,422.1425
7,0.8,2.14947e-41,815.624,407.812
8,0.9,6.22159e-39,787.0,393.5
9,1.0,1.90016e-37,758.603,379.3015
10,1.1,4.1432e-36,730.587,365.2935
11,1.2,5.99691e-35,703.073,351.5365
12,1.3,6.93804e-34,676.158,338.079
13,1.4,3.72628e-33,649.916,324.958
14,1.5,1.63419e-32,624.403,312.2015
15,1.6,6.61431e-32,599.66,299.83
16,1.7,2.93316e-31,575.713,287.8565
17,1.8,1.15987e-30,552.58,276.29
18,1.9,4.18306e-30,530.269,265.1345
19,2.0,1.38959e-29,508.781,254.3905
20,2.1,4.30254e-29,488.11,244.055
21,2.2,1.25589e-28,468.247,234.1235
22,2.3,3.4508e-28,449.176,224.588
23,2.4,8.71002e-28,430.881,215.4405
24,2.5,2.13416e-27,413.343,206.6715
25,2.6,5.09945e-27,396.54,198.27
26,2.7,1.19268e-26,380.45,190.225
27,2.8,2.7388e-26,365.048,182.524
28,2.9,6.19081e-26,350.311,175.1555
29,3.0,1.38077e-25,336.215,168.1075
30,3.1,2.89317e-25,322.735,161.3675
31,3.2,5.52994e-25,309.847,154.9235
32,3.3,1.06944e-24,297.526,148.763
33,3.4,2.03345e-24,285.749,142.8745
34,3.5,3.86467e-24,274.494,137.247
35,3.6,7.27874e-24,263.737,131.8685
36,3.7,1.35822e-23,253.456,126.728
37,3.8,2.49657e-23,243.631,121.8155
38,3.9,4.68328e-23,234.241,117.1205
39,4.0,8.70421e-23,225.267,112.6335
40,4.1,1.62362e-22,217.937,108.9685
41,4.2,2.76889e-22,212.74,106.37
42,4.3,4.7179e-22,207.6,103.8
43,4.4,8.03335e-22,202.525,101.2625
44,4.5,1.36683e-21,197.521,98.7605
45,4.6,2.3231e-21,192.596,96.298
46,4.7,3.94203e-21,187.753,93.8765
47,4.8,6.68181e-21,182.996,91.498
48,4.9,1.04911e-20,178.33,89.165
49,5.0,1.61546e-20,173.756,86.878
50,5.1,2.49281e-20,169.276,84.638
51,5.2,3.84446e-20,164.892,82.446
52,5.3,5.94753e-20,160.606,80.303
53,5.4,9.20286e-20,156.417,78.2085
54,5.5,1.42645e-19,152.326,76.163
55,5.6,2.21421e-19,148.332,74.166
56,5.7,3.37277e-19,144.436,72.218
57,5.8,4.85725e-19,140.636,70.318
58,5.9,7.00435e-19,136.932,68.466
59,6.0,1.01188e-18,133.322,66.661
60,6.1,1.46474e-18,129.806,64.903
61,6.2,2.12454e-18,126.382,63.191
62,6.3,3.08762e-18,123.049,61.5245
63,6.4,4.49496e-18,119.804,59.902
64,6.5,6.55266e-18,116.647,58.3235
65,6.6,9.56149e-18,113.576,56.788
66,6.7,1.32981e-17,110.589,55.2945
67,6.8,1.83422e-17,107.683,53.8415
68,6.9,2.53578e-17,104.858,52.429
69,7.0,3.51378e-17,102.111,51.0555
70,7.1,4.87972e-17,99.4412,49.7206
71,7.2,6.70465e-17,96.8457,48.42285
72,7.3,8.80317e-17,94.323,47.1615
73,7.4,1.15748e-16,91.8714,45.9357
74,7.5,1.52452e-16,89.4888,44.7444
75,7.6,2.01194e-16,87.1736,43.5868
76,7.7,2.66092e-16,84.924,42.462
77,7.8,3.52715e-16,82.7381,41.36905
78,7.9,4.68591e-16,80.6142,40.3071
79,8.0,6.21627e-16,78.5507,39.27535
80,8.1,7.90491e-16,76.5457,38.27285
81,8.2,1.00669e-15,74.5978,37.2989
82,8.3,1.28423e-15,72.7052,36.3526
83,8.4,1.6415e-15,70.8665,35.43325
84,8.5,2.10282e-15,69.0801,34.54005
85,8.6,2.69912e-15,67.3444,33.6722
86,8.7,3.47285e-15,65.658,32.829
87,8.8,4.47753e-15,64.0193,32.00965
88,8.9,5.78453e-15,62.4271,31.213550000000005
89,9.0,7.48711e-15,60.8799,30.439950000000003
90,9.1,9.40878e-15,59.3764,29.688200000000002
91,9.2,1.17624e-14,57.9153,28.957650000000008
92,9.3,1.47364e-14,56.4954,28.247700000000005
93,9.4,1.85026e-14,55.1154,27.55770000000001
94,9.5,2.26557e-14,53.7742,26.88710000000001
95,9.6,2.74978e-14,52.4705,26.235250000000015
96,9.7,3.3426e-14,51.2034,25.60170000000002
97,9.8,4.06999e-14,49.9717,24.98585000000002
98,9.9,4.9646e-14,48.7744,24.387200000000025
99,10.0,6.0686e-14,47.6351,23.817550000000033
100,10.1,7.43301e-14,46.7356,23.367800000000035
101,10.2,9.12253e-14,45.8529,22.926450000000045
102,10.3,1.12185e-13,44.9868,22.493400000000058
103,10.4,1.38228e-13,44.1372,22.068600000000067
104,10.5,1.70635e-13,43.3038,21.651900000000087
105,10.6,2.11007e-13,42.4865,21.243250000000106
106,10.7,2.57146e-13,41.685,20.84250000000013
107,10.8,3.08561e-13,41.0248,20.512400000000152
108,10.9,3.65462e-13,40.3732,20.18660000000018
109,11.0,4.28394e-13,39.7295,19.864750000000214
110,11.1,5.02753e-13,39.0939,19.54695000000025
111,11.2,5.90781e-13,38.4665,19.233250000000297
112,11.3,6.95204e-13,37.8474,18.92370000000035
113,11.4,8.19324e-13,37.2365,18.61825000000041
114,11.5,9.67146e-13,36.634,18.317000000000483
115,11.6,1.14353e-12,36.0398,18.019900000000572
116,11.7,1.35435e-12,35.454,17.72700000000068
117,11.8,1.59931e-12,34.8765,17.4382500000008
118,11.9,1.8618e-12,34.3074,17.15370000000093
119,12.0,2.17036e-12,33.7466,16.873300000001084
120,12.1,2.53383e-12,33.1941,16.597050000001268
121,12.2,2.96251e-12,32.6498,16.32490000000148
122,12.3,3.46894e-12,32.1173,16.058650000001734
123,12.4,4.06815e-12,31.6274,15.813700000002035
124,12.5,4.77811e-12,31.144,15.572000000002388
125,12.6,5.62028e-12,30.6671,15.33355000000281
126,12.7,6.62036e-12,30.1968,15.09840000000331
127,12.8,7.80898e-12,29.733,14.866500000003905
128,12.9,9.22271e-12,29.2757,14.637850000004612
129,13.0,1.09051e-11,28.8249,14.412450000005453
130,13.1,1.29081e-11,28.3806,14.190300000006454
131,13.2,1.52932e-11,27.9427,13.971350000007646
132,13.3,1.81336e-11,27.5113,13.755650000009066
133,13.4,2.1516e-11,27.0861,13.543050000010757
134,13.5,2.50866e-11,26.6673,13.333650000012543
135,13.6,2.90511e-11,26.2548,13.127400000014525
136,13.7,3.36792e-11,25.8485,12.92425000001684
137,13.8,3.90854e-11,25.4484,12.724200000019543
138,13.9,4.53993e-11,25.0544,12.5272000000227
139,14.0,5.27796e-11,24.6665,12.33325000002639
140,14.1,6.14052e-11,24.2846,12.142300000030703
141,14.2,7.14922e-11,23.9086,11.954300000035746
