Cas1;Standardized 11;Standardized 21;Cas2;Standardized 12;Standardized 22;Cas3;Standardized 13;Standardized 23;Cas4;Standardized 14;Standardized 24;Cas5;Standardized 15;Standardized 25;Cas6;Standardized 16;Standardized 26
0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
0,517;0,684931507;0;0,505;0,007541478;0;0,52;0,002262443;0;0,53;0;0;0,53;0;0;0,51;0;0
1,028;4,592645999;0,613997114;1,021;0,285822021;0,17989418;1,027;0,0173454;0,232980333;1,04;0,072542902;0;1,04;0,003563792;0,005003574;1,03;0,299846626;0,606153846
1,538;0,725306417;1,419191919;1,526;0,037707391;1,110355253;1,539;0,008295626;2,52193646;1,55;0,217628705;0,189358372;1,56;0,00427655;3,05003574;1,55;0,338957055;2,656153846
2,047;0,125450613;0,30952381;2,033;0,006033183;0,495086924;2,042;0,002262443;0,62934947;2,06;0,014820593;0,029733959;2,08;0,001425517;1,272337384;2,06;0,069018405;0,331538462
2,557;0,140591204;0,551226551;2,538;0,00678733;0,900226757;2,549;0,049019608;0,186081694;2,57;0,003900156;0,111111111;2,59;0,001425517;1,067190851;2,56;0,139570552;0,464615385
3,066;0,142033165;0,996392496;3,055;0,056561086;0,989417989;3,063;0,16214178;0,437972769;3,08;0,023400936;0,457746479;3,1;0,044903778;0,385989993;3,08;0,075920245;0,651538462
3,573;0,133381399;1,407647908;3,565;0,773001508;1,306878307;3,585;0,312217195;1,054462935;3,6;0,256630265;0,72456964;3,61;0,188168211;1,258041458;3,59;2,151840491;0,844615385
4,085;0,873828407;1,212842713;4,08;2,365007541;1,092214664;4,095;1,368778281;1,584720121;4,11;1,194227769;0,942097027;4,12;0,724875267;1,950679056;4,09;1,844325153;1,426923077
4,596;0,677000721;1,04978355;4,592;1,417797888;0,916855631;4,61;0,812971342;1,460665658;4,62;1,369734789;1,193270736;4,64;1,155381326;1,84417441;4,61;0,988496933;1,252307692
5,105;0,612112473;1,075757576;5,097;1,138763198;0,987150416;5,124;0,838612368;1,126323752;5,14;1,775351014;1,216744914;5,15;0,676407698;1,523230879;5,12;0,829754601;0,994615385
5,62;0,421773612;0,911976912;5,611;1,045248869;0,9425548;5,63;0,773001508;0,897125567;5,66;0,990639626;1,023474178;5,67;0,915181753;1,078627591;5,64;0,812116564;0,913076923
6,13;0,577505407;1,174603175;6,121;0,733785822;1,072562358;6,143;0,865761689;0,905446293;6,17;0,880655226;1,024256651;6,17;1,010691376;0,927805575;6,14;0,751533742;0,912307692
6,661;0,7296323;1,020923521;6,633;0,77224736;1,080120937;6,653;0,945701357;1,074130106;6,68;0,5975039;0,989045383;6,69;1,007840342;0,869907076;6,67;0,760736196;0,946153846
7,166;0,895457823;1,096681097;7,139;0,926093514;1,044595616;7,162;1,082956259;1,158093797;7,19;1,005460218;0,978090767;7,2;1,160370634;0,957112223;7,18;0,98006135;1,077692308
7,677;0,870944484;1,06998557;7,65;0,917043741;0,984882842;7,672;0,996983409;1,102874433;7,7;0,921216849;1,0657277;7,7;1,112615823;1,102930665;7,69;1,108895706;0,972307692
8,187;1,006488825;1,031746032;8,158;0,979638009;0,987150416;8,178;0,981900452;0,998487141;8,21;1,063182527;1,023474178;8,22;1,089094797;0,961401001;8,19;1,15797546;0,896923077
8,708;0,998558039;1,051948052;8,665;0,984917044;1,009826153;8,689;0,904977376;0,964447806;8,72;1,033541342;0,990610329;8,73;0,980042766;0,904932094;8,7;1,134969325;0,976923077
9,224;0,919971161;1,043290043;9,177;1,024886878;1,027210884;9,211;0,892156863;0,997730711;9,23;1,03900156;0,976525822;9,23;0,983606557;0,939957112;9,22;1,068251534;0,967692308
9,736;0,90483057;1,032467532;9,686;1,0173454;1,009826153;9,741;1,023378582;1,018154312;9,73;1,022620905;0,972613459;9,74;1,027797577;0,9807005;9,72;1,000766871;1,006153846
10,248;1,031723143;1,049062049;10,203;0,981146305;1,002267574;10,256;1,04826546;1,023449319;10,26;0,989079563;0,98513302;10,25;1,046329294;1,014295926;10,23;1,021472393;0,990769231
10,761;1,048305696;1,012987013;10,711;0,985671192;0,994708995;10,769;1,067119155;1,016641452;10,78;0,984399376;0,987480438;10,77;1,015680684;0,992137241;10,75;1,016871166;0,977692308
11,275;1,002162942;0,989177489;11,226;0,981146305;0,990929705;11,286;1,02413273;0,987897126;11,29;0,984399376;0,975743349;11,28;1,028510335;0,979985704;11,27;1,036809816;0,973076923
11,786;0,964671954;1,026695527;11,745;1,009803922;1,006802721;11,795;0,992458522;0,989409985;11,81;0,992979719;0,978873239;11,79;1,005702067;0,982844889;11,78;1,01303681;1,000769231
12,301;1,012256669;1,011544012;12,26;1;1,006802721;12,308;0,990196078;0,998487141;12,31;0,990639626;0,974960876;12,31;0,999287242;0,992137241;12,29;0,997699387;0,994615385
12,817;1,011535689;1,012987013;12,781;1,000754148;1,003023432;12,823;0,993966817;1,002269289;12,82;0,999219969;0,98200313;12,82;1,002851033;1,005003574;12,8;1,004601227;0,993846154
