,Time,Cmin,Cmax,Mean
0,0.1,0.0,1000.0,500.0
1,0.2,2.23813e-25,595.052,297.526
2,0.3,5.29269e-15,323.387,161.6935
3,0.4,1.60617e-12,176.167,88.08350000000081
4,0.5,4.01009e-11,107.596,53.79800000002005
5,0.6,4.41659e-10,70.7648,35.38240000022083
6,0.7,3.17066e-09,51.3508,25.67540000158533
7,0.8,1.64581e-08,41.7625,20.881250008229053
8,0.9,6.72025e-08,33.8466,16.92330003360125
9,1.0,2.29744e-07,27.5305,13.765250114872
10,1.1,6.81723e-07,22.597,11.298500340861501
11,1.2,1.80801e-06,18.5378,9.268900904005001
12,1.3,4.37405e-06,16.1274,8.063702187025001
13,1.4,9.80314e-06,14.2064,7.10320490157
14,1.5,2.05922e-05,12.3803,6.1901602961
15,1.6,4.09066e-05,11.2357,5.6178704533
16,1.7,7.73833e-05,10.5081,5.254088691650001
17,1.8,0.000140172,9.98982,4.994980086
18,1.9,0.000244209,9.59773,4.7989871045
19,2.0,0.000410704,9.1302,4.565305352
20,2.1,0.000668779,8.59189,4.2962793894999995
21,2.2,0.00105716,8.07829,4.0396735800000005
22,2.3,0.00162578,7.65251,3.8270678900000004
23,2.4,0.00243718,7.2661,3.63426859
24,2.5,0.00355755,6.87491,3.439233775
25,2.6,0.00507775,6.5114,3.258238875
26,2.7,0.00709862,6.13038,3.0687393099999998
27,2.8,0.00973304,5.74301,2.87637152
28,2.9,0.013105,5.35971,2.6864075
29,3.0,0.0173471,4.98858,2.50296355
30,3.1,0.0225976,4.63567,2.3291338
31,3.2,0.0289965,4.30502,2.16700825
32,3.3,0.0366818,3.99937,2.0180259
33,3.4,0.0457847,3.8673,1.95654235
34,3.5,0.0564246,3.71869,1.8875573
35,3.6,0.0687051,3.55882,1.8137625499999999
36,3.7,0.0827098,3.39328,1.7379949
37,3.8,0.0984982,3.22671,1.6626041
38,3.9,0.116105,3.1469,1.6315025
39,4.0,0.135535,3.09494,1.6152374999999999
40,4.1,0.156766,3.0334,1.595083
41,4.2,0.179746,2.97697,1.5783580000000001
42,4.3,0.204396,2.92542,1.564908
43,4.4,0.230611,2.88646,1.5585355
44,4.5,0.258263,2.85453,1.5563965
45,4.6,0.287205,2.81858,1.5528925
46,4.7,0.317275,2.78861,1.5529425
47,4.8,0.348295,2.75273,1.5505125
48,4.9,0.380083,2.71789,1.5489865
49,5.0,0.41245,2.67078,1.5416150000000002
50,5.1,0.445206,2.63069,1.537948
51,5.2,0.478164,2.58655,1.532357
52,5.3,0.511145,2.53556,1.5233524999999999
53,5.4,0.543973,2.49739,1.5206815000000002
54,5.5,0.576486,2.45673,1.516608
55,5.6,0.608533,2.41205,1.5102915
56,5.7,0.639977,2.37881,1.5093935
57,5.8,0.670695,2.34864,1.5096675
58,5.9,0.700578,2.3185,1.509539
59,6.0,0.729535,2.28316,1.5063475
60,6.1,0.757484,2.24462,1.501052
61,6.2,0.784369,2.20674,1.4955545
62,6.3,0.810139,2.16727,1.4887044999999999
63,6.4,0.83476,2.12511,1.4799349999999998
64,6.5,0.858209,2.07974,1.4689745
65,6.6,0.880478,2.03398,1.457229
66,6.7,0.901566,1.98949,1.445528
67,6.8,0.921481,1.94351,1.4324955
68,6.9,0.940242,1.89532,1.417781
69,7.0,0.957399,1.84755,1.4024745
70,7.1,0.967488,1.79937,1.383429
71,7.2,0.977848,1.75059,1.364219
72,7.3,0.988582,1.72553,1.357056
73,7.4,0.999595,1.70406,1.3518275
74,7.5,1.01079,1.68078,1.345785
