Time;120RPM baffles no pitch 1L 30g;120RPM baffles pitch 1L 30g;120RPM no baffles no pitch 1L 30g;120RPM no baffles pitch 1L 30g;150RPM baffles no pitch 1L 30g;150RPM baffles pitch 1L 30g;150RPM no baffles no pitch 1L 30g;150RPM no baffles pitch 1L 30g;200RPM baffles no pitch 1L 30g;200RPM baffles pitch 1L 30g;200RPM no baffles pitch 1L 30g;200RPM no baffles no pitch 1L 30g;300RPM no baffles no pitch 1L 30g
0;0;0;0;0;0;0;0;0;0;0;0;0;0
5;0,165741751;0,178079593;0,195026178;0,144767042;0,215607723;0,217109811;0,307338791;0,209563726;0,262883567;0,295150733;0,452030975;0,345726952;0,344592869
10;0,331483502;0,356159187;0,390052356;0,289534083;0,431215447;0,279689566;0,553138015;0,419127453;0,525767134;0,590301466;0,715717642;0,692276071;0,68918574
15;0,390122762;0,385826473;0,509930571;0,299862291;0,485551721;0,366207684;0,707058739;0,532939608;0,73462862;0,745597861;0,855868806;0,866303227;0,89994044
21;0,429012237;0,414735005;0,56703847;0,339855405;0,552849654;0,375213288;0,776317679;0,565402934;0,840839107;0,808518484;0,870591054;0,957633175;1
26;0,432856601;0,417997648;0,596460278;0,383406013;0,590746534;0,399748963;0,832004883;0,620232425;0,886256485;0,809624781;0,905329376;0,976802282;1
31;0,442934857;0,434652301;0,65117801;0,420989213;0,597857237;0,381737756;0,837964958;0,644618022;0,90616247;0,817000092;0,930330149;0,974854382;1
36;0,482422692;0,4551766;0,681709538;0,414849667;0,613224951;0,440917435;0,864964814;0,655591541;0,927341937;0,859085461;0,918428699;1;1
41;0,472281863;0,456618233;0,695737537;0,455875602;0,622243185;0,449555463;0,848197616;0,690607735;0,910243875;0,837466581;0,93322823;1;1
47;0,482164576;0,462346827;0,713521511;0,451801698;0,625070152;0,456631294;0,865826512;0,730462945;0,931071917;0,831566332;0,912091564;1;1
52;0,512164694;0,471300125;0,727122695;0,523181088;0,661913263;0,463063868;0,831574034;0,769594208;0,941941748;0,86166682;0,943622678;1;1
57;0,501988666;0,477370158;0,749402458;0,515492311;0,671949443;0,461271937;0,840765475;0,787311869;0,939182537;0,855489997;0,931605305;1;1
62;0,498386775;0,510300087;0,745874118;0,555542805;0,66311032;0,454379894;0,825542151;0,747113736;0,939488728;0,87826127;0,935817181;1;1
68;0,496454816;0,509579271;0,758906214;0,573043378;0,661247567;0,482912953;0,830604624;0,791769861;0,959787892;0,887065548;0,93106433;1;1
73;0,516400142;0,514776737;0,766076713;0,573445031;0,680546766;0,491183406;0,856491455;0,820232425;0,955313308;0,876279156;0,939990417;1;1
78;0,52722146;0,527334117;0,774926019;0,55686252;0,695568199;0,510481127;0,853295993;0,844770432;0,943528381;0,891214161;0,940222263;1;1
83;0,531953586;0,538753367;0,800961757;0,586297911;0,691830752;0,495134844;0,863851788;0,857610974;0,943688436;0,902830276;0,937401465;1;1
89;0,534695091;0,552410941;0,80639654;0,583773238;0,712631497;0,471931631;0,838467615;0,865117165;0,943754546;0,891767309;0,919781137;1;1
94;0,537682979;0,526120111;0,816327111;0,596167087;0,697251842;0,508735143;0,843242855;0,86991808;0,942296652;0,88554439;0,937749235;1;1
99;0,54658798;0,525702796;0,787417482;0,600929539;0,715536079;0,517281277;0,852721528;0,86900362;0,944655725;0,914769061;0,916960339;1;1
104;0,540467503;0,546682348;0,786108582;0,622389259;0,737554778;0,502624198;0,820443774;0,864202705;0,94166687;0,920208353;0,930252867;1;1
109;0,557952906;0,567054896;0,787616663;0,60942162;0,717079418;0,511124385;0,839185696;0,874223662;0,938044753;0,916520697;0,916921698;1;1
115;0,574425399;0,548579233;0,800677214;0,634266697;0,731029171;0,536762786;0,855019388;0,898456849;0,954791389;0,91937863;0,914448669;1;1
120;0,573662783;0,561440115;0,791884817;0,607642874;0,766009529;0,528768016;0,875233376;0,881196418;0,951527657;0,940767032;0,924031655;1;1
125;0,5686217;0,545126902;0,807477806;0,645340831;0,733674042;0,551006343;0,859435588;0,886492665;0,942331446;0,940997511;0,94478191;1;1
130;0,577362446;0,578853523;0,792766902;0,635873307;0,751588117;0,544389981;0,849741491;0,900857306;0,951176232;0,924126487;0,93612631;1;1
