Time;Savgol1;Savgol2;Savgol3;Savgol4;Savgol5;Savgol6;Savgol7;Savgol8;Savgol9;Savgol10;Savgol11;Savgol12;Savgol13
0.00;0.004038733325875979;0.022564534048174267;0.0;0.018913717537725257;0.004120083204725203;0.06631207550699196;0.006144438225629146;0.0;0.0;0.0;0.03701047854020851;0.0;0.0
5.00;0.3942144052461681;0.4159711788344989;0.3536386027156173;0.3902516982885531;0.39633838764166746;0.4421997659090899;0.3763280767545699;0.37821499087469856;0.36611312272727203;0.401529037335834;0.43492540596590773;0.3958539234085502;0.39147511181118794
10.00;0.6679637466995223;0.6878030490287491;0.6228350806954152;0.6566058057906999;0.6752216503456301;0.706142343927738;0.6471221827028383;0.6540894943215246;0.6595060564159412;0.6899543246858821;0.7061091803054571;0.682819134157595;0.6812211013613045
15.00;0.8458903578105551;0.8596851284926185;0.8179087820959591;0.8376457993559066;0.8601240683827651;0.8782682203525631;0.8334256268556733;0.8411598771045883;0.8665776947850924;0.876628915495479;0.8730072403226968;0.8713568980763224;0.8697696979347312
21.00;0.9485978387038827;0.9532424010878012;0.9521634463675209;0.95;0.9703998388192254;0.9787058059731925;0.9501372799983138;0.9586470858229192;1.0;0.9821124225396545;0.9580650247814675;0.9806779336865885;0.9768508241585075
26.00;0.9966897895041246;0.9900998506759934;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9837279724456126;1.0;1.0
31.00;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.979438629654723;1.0;1.0
36.00;1.0;0.992918894410777;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9715873166423881;1.0;1.0
41.00;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;1.0;0.9685241035547812;1.0;1.0
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;;;;;;;;;;;;
k;0.00961839;0.00737149;0.022375777;0.019232606;0.018379295;0.024778497;0.019451942;0.019581201;0.041414328;0.026559827;0.00513259;0.027078073;0.017846854
n;0.746611645;0.798441113;0.482272121;0.549156702;0.584434642;0.458357378;0.541646494;0.547441855;0.130299119;0.424356054;0.850280645;0.412038407;0.602066882
0.95 time;21.14577921;20.56014305;20.90331302;20.84186032;19.89006413;19.84150332;20.99294261;20.55839861;19.79268836;19.79094007;19.4286636;19.86705623;19.49548701
